timestamp,cpuUsage,memoryUsage,numOfUes,numOfPduSess,confidence,numOfExceedLoadLevelThr,exceedLoadLevelThrInd,resUsgThrCrossTimePeriod
2025-07-02T13:01:54.057Z,7,57454592,0,0,100,1,true,""
2025-07-02T13:01:59.067Z,4,57454592,0,0,100,2,true,"[2025-07-02T13:01:54.057Z - 2025-07-02T13:01:59.067Z]"
2025-07-02T13:02:04.057Z,7,57454592,0,0,100,3,true,"[2025-07-02T13:01:59.067Z - 2025-07-02T13:02:04.057Z]"
2025-07-02T13:02:09.067Z,5,57454592,0,0,100,4,true,"[2025-07-02T13:02:04.057Z - 2025-07-02T13:02:09.067Z]"
2025-07-02T13:02:14.061Z,14,57454592,0,0,100,5,true,"[2025-07-02T13:02:09.067Z - 2025-07-02T13:02:14.061Z]"
2025-07-02T13:02:19.072Z,7,57454592,0,0,100,6,true,"[2025-07-02T13:02:14.061Z - 2025-07-02T13:02:19.072Z]"
2025-07-02T13:02:24.065Z,9,57454592,0,0,100,7,true,"[2025-07-02T13:02:19.072Z - 2025-07-02T13:02:24.065Z]"
2025-07-02T13:02:29.061Z,4,57462784,0,0,100,8,true,"[2025-07-02T13:02:24.065Z - 2025-07-02T13:02:29.061Z]"
2025-07-02T13:02:34.071Z,4,57462784,0,0,100,9,true,"[2025-07-02T13:02:29.061Z - 2025-07-02T13:02:34.071Z]"
2025-07-02T13:02:39.070Z,7,57462784,0,0,100,10,true,"[2025-07-02T13:02:34.071Z - 2025-07-02T13:02:39.070Z]"
2025-07-02T13:02:44.058Z,2,57462784,0,0,100,11,true,"[2025-07-02T13:02:39.070Z - 2025-07-02T13:02:44.058Z]"
2025-07-02T13:02:49.058Z,5,57462784,0,0,100,12,true,"[2025-07-02T13:02:44.058Z - 2025-07-02T13:02:49.058Z]"
2025-07-02T13:02:54.068Z,10,57462784,0,0,100,13,true,"[2025-07-02T13:02:49.058Z - 2025-07-02T13:02:54.068Z]"
2025-07-02T13:02:59.072Z,10,57462784,0,0,100,14,true,"[2025-07-02T13:02:54.068Z - 2025-07-02T13:02:59.072Z]"
2025-07-02T13:03:04.059Z,0,57462784,0,0,100,15,true,"[2025-07-02T13:02:59.072Z - 2025-07-02T13:03:04.059Z]"
2025-07-02T13:03:09.062Z,3,57462784,0,0,100,16,true,"[2025-07-02T13:03:04.059Z - 2025-07-02T13:03:09.062Z]"
2025-07-02T13:03:14.059Z,8,57462784,0,0,100,17,true,"[2025-07-02T13:03:09.062Z - 2025-07-02T13:03:14.059Z]"
2025-07-02T13:03:19.061Z,5,57462784,0,0,100,18,true,"[2025-07-02T13:03:14.059Z - 2025-07-02T13:03:19.061Z]"
2025-07-02T13:03:24.060Z,7,57462784,0,0,100,19,true,"[2025-07-02T13:03:19.061Z - 2025-07-02T13:03:24.060Z]"
2025-07-02T13:03:29.068Z,5,57462784,0,0,100,20,true,"[2025-07-02T13:03:24.060Z - 2025-07-02T13:03:29.068Z]"
