timestamp,cpuUsage,memoryUsage,numOfUes,numOfPduSess,numOfExceedLoadLevelThr,exceedLoadLevelThrInd,resUsgThrCrossTimePeriod,confidence
2025-07-17T11:44:17.025Z,2,94,1,7,0,false,"",100,
2025-07-17T11:44:22.028Z,3,94,1,7,0,false,"",100,
2025-07-17T11:44:27.027Z,3,94,1,7,0,false,"",100,
2025-07-17T11:44:32.039Z,0,94,1,7,0,false,"",100,
2025-07-17T11:44:37.037Z,0,94,1,7,0,false,"",100,
2025-07-17T11:44:42.033Z,0,94,1,7,0,false,"",100,
2025-07-17T11:44:47.032Z,1,93,1,7,0,false,"",100,
2025-07-17T11:44:52.038Z,3,94,1,7,0,false,"",100,
2025-07-17T11:44:57.029Z,3,94,1,7,0,false,"",100,
2025-07-17T11:45:02.035Z,3,94,1,7,0,false,"",100,
2025-07-17T11:45:07.030Z,0,94,1,7,0,false,"",100,
2025-07-17T11:45:12.032Z,0,94,1,7,0,false,"",100,
2025-07-17T11:45:17.029Z,2,94,1,7,0,false,"",100,
2025-07-17T11:45:22.030Z,1,94,1,7,0,false,"",100,
2025-07-17T11:45:27.030Z,0,94,1,7,0,false,"",100,
2025-07-17T11:45:32.032Z,0,94,2,7,0,false,"",100,
2025-07-17T11:45:37.034Z,2,94,2,8,0,false,"",100,
2025-07-17T11:45:42.038Z,0,94,2,8,0,false,"",100,
2025-07-17T11:45:47.032Z,0,94,1,8,0,false,"",100,
2025-07-17T11:45:52.039Z,0,94,1,8,0,false,"",100,
2025-07-17T11:45:57.036Z,0,94,1,8,0,false,"",100,
2025-07-17T11:46:02.028Z,0,94,1,8,0,false,"",100,
2025-07-17T11:46:07.038Z,0,94,1,8,0,false,"",100,
2025-07-17T11:46:12.027Z,3,94,1,8,0,false,"",100,
2025-07-17T11:46:17.040Z,0,94,1,8,0,false,"",100,
2025-07-17T11:46:22.028Z,1,94,1,8,0,false,"",100,
2025-07-17T11:46:27.034Z,0,94,1,8,0,false,"",100,
2025-07-17T11:46:32.031Z,0,94,1,8,0,false,"",100,
2025-07-17T11:46:37.029Z,0,94,1,8,0,false,"",100,
2025-07-17T11:46:42.036Z,0,94,2,9,0,false,"",100,
2025-07-17T11:46:47.027Z,0,94,2,9,0,false,"",100,
2025-07-17T11:46:52.041Z,0,94,2,9,0,false,"",100,
2025-07-17T11:46:57.028Z,4,93,2,9,0,false,"",100,
2025-07-17T11:47:02.028Z,4,94,2,9,0,false,"",100,
2025-07-17T11:47:07.036Z,5,94,2,9,0,false,"",100,
2025-07-17T11:47:12.035Z,0,94,2,9,0,false,"",100,
2025-07-17T11:47:17.035Z,6,94,2,9,0,false,"",100,
2025-07-17T11:47:22.030Z,0,94,2,9,0,false,"",100,
2025-07-17T11:47:27.031Z,0,94,2,9,0,false,"",100,
2025-07-17T11:47:32.032Z,1,94,2,9,0,false,"",100,
2025-07-17T11:47:37.035Z,0,94,1,9,0,false,"",100,
