timestamp,cpuUsage,memoryUsage,numOfUes,numOfPduSess,numOfExceedLoadLevelThr,exceedLoadLevelThrInd,resUsgThrCrossTimePeriod,confidence
2025-07-23T11:04:53.612Z,1,94,0,7,1,true,"",100,
2025-07-23T11:04:58.618Z,4,94,0,7,2,true,"[2025-07-23T11:04:53.612Z - 2025-07-23T11:04:58.618Z]",100,
2025-07-23T11:05:03.616Z,0,94,0,7,3,true,"[2025-07-23T11:04:58.618Z - 2025-07-23T11:05:03.616Z]",100,
2025-07-23T11:05:08.621Z,3,94,1,7,4,true,"[2025-07-23T11:05:03.616Z - 2025-07-23T11:05:08.621Z]",100,
2025-07-23T11:05:13.623Z,1,94,1,7,5,true,"[2025-07-23T11:05:08.621Z - 2025-07-23T11:05:13.623Z]",100,
2025-07-23T11:05:18.626Z,2,94,1,7,6,true,"[2025-07-23T11:05:13.623Z - 2025-07-23T11:05:18.626Z]",100,
2025-07-23T11:05:23.614Z,1,94,1,7,7,true,"[2025-07-23T11:05:18.626Z - 2025-07-23T11:05:23.614Z]",100,
2025-07-23T11:05:28.615Z,0,94,0,7,8,true,"[2025-07-23T11:05:23.614Z - 2025-07-23T11:05:28.615Z]",100,
2025-07-23T11:05:33.619Z,0,94,0,7,9,true,"[2025-07-23T11:05:28.615Z - 2025-07-23T11:05:33.619Z]",100,
2025-07-23T11:05:38.616Z,0,94,0,7,10,true,"[2025-07-23T11:05:33.619Z - 2025-07-23T11:05:38.616Z]",100,
2025-07-23T11:05:43.621Z,0,94,0,7,11,true,"[2025-07-23T11:05:38.616Z - 2025-07-23T11:05:43.621Z]",100,
2025-07-23T11:05:48.616Z,0,94,1,7,12,true,"[2025-07-23T11:05:43.621Z - 2025-07-23T11:05:48.616Z]",100,
2025-07-23T11:05:53.618Z,2,94,1,7,13,true,"[2025-07-23T11:05:48.616Z - 2025-07-23T11:05:53.618Z]",100,
2025-07-23T11:05:58.616Z,0,94,1,7,14,true,"[2025-07-23T11:05:53.618Z - 2025-07-23T11:05:58.616Z]",100,
2025-07-23T11:06:03.616Z,2,94,1,7,15,true,"[2025-07-23T11:05:58.616Z - 2025-07-23T11:06:03.616Z]",100,
